place_id,menu_name,menu_tag,description,price,price_raw
1baf3b21-ff47-5b88-989d-ab78b847fe16,정보 수정 제안하기,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,관련 링크2,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,다이닝코드에서 보기,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,식신에서 보기,,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,아메리카노,대표,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,"Iced 5,500",대표,,4500,"4,500원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,카페라떼,대표,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,"Iced 6,500 바닐라/헤이즐넛/캬라멜 가능",대표,,5500,"5,500원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,아포가토,대표,,6000,"6,000원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,티,대표,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,모과/대추/생강/유자/레몬,대표,,5500,"5,500원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,허브티,대표,"Iced 6,000 라벤더/로즈마리/페퍼민트/루이보스/쟈스민/캐모마일/얼그레이/다즐링",5500,"5,500원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,크로플,대표,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,바닐라 아이스크림+메이플/초코렛/카라멜(시럽선택1),대표,,7000,"7,000원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,타르트따땅,대표,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,바닐라 아이스크림을 곁들인 따뜻한 애플파이,대표,,6500,"6,500원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,파리지엥 핫도그,대표,바삭한 바게트에 홀그레인 머스타드와 소세지 모짜렐라치즈를 넣어만든 담백한 파리식핫도그,8000,"8,000원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,Special) 후추 커피,,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,Hot only 에스프레소 샷에 후추향을 첨가한 커피,,,6000,"6,000원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,Special) 시나몬 커피,,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,Hot only 에스프레소 샷에 시나몬향을 첨가한 커피,,,6000,"6,000원"
